,organizer,call_duration_mins,participants,interaction
627,Samantha Cruz,86,"['Jason Carter,Jacob Nelson,Matthew Brown,Mark Schaefer,Christopher Humphrey,Thomas Rich']",Low
628,Caitlin Mcclain,87,"['Carl Morgan,Laura Austin,Susan Torres,Evan Wright,Joseph Grant,Tricia Taylor,Elizabeth Buckley,Patricia Oliver,Tina Harrison,Anna Fisher']",High
629,Logan Doyle,125,"['Kyle Ramos,Erica Meyer,Stephanie Ford,Brenda Franco']",Low
630,Eric Henderson,63,"['Stephanie Morales,Mary Contreras,Charles Lam']",Medium
631,Jill Davies DDS,57,"['Christine Allen,Veronica Warner,Eileen Cardenas']",High
632,Robyn Cruz MD,67,"['Matthew Horne,Robert Watson,Daniel Nguyen,Bryan Roberts,Michael Taylor,Frank Barnett,Christopher Hayes,Carmen Hamilton']",Medium
633,Grace Lopez,169,"['Christopher Elliott,Emily Miller,Tracy Taylor,Bryan Larson,David Huffman,Becky Hernandez,Suzanne Foster,Jessica Sandoval']",Medium
634,Steve Brown,147,"['Joseph Barnes,Allison Day,Alicia Cole,Amy Jones,Kathryn Townsend']",Medium
635,Karen Allen,174,"['Julie Reed,Annette Whitney,Richard Alvarado,Victor Holmes,Rhonda Price,Nathan Thompson,Patricia Gill']",High
636,Lisa Silva,163,"['Eric Evans,Michael Davis,Steven Marquez,Renee Farmer,Lori Gibson,Emily Price']",High
637,Joseph Gibson,155,"['Tiffany White,Mike Gibson,Robert Reid,Jose Maddox,Kyle Henderson,Amanda Rodriguez']",Medium
638,Diane Wilson,51,"['Jenny Davidson,Sara Conrad,Willie Jones,Lisa Walker,Marissa Medina,Kayla Sanchez,Bradley Grant,Jennifer Sullivan,Gina Cooper,Amy Finley']",Medium
639,Mark Fowler,166,"['Kimberly Williams,Alexander Riddle,Michael Knight,Raven Burns,Emily Garcia,Curtis Valencia,Karen King']",Medium
640,Grace Raymond,52,"['Kyle Beltran,Roger Vasquez,James Thomas,Nicholas Aguilar,Donna Johnson,Michael Bartlett']",Medium
641,Natalie Hodges,165,"['Kelly Johnson,Dawn Campbell,Stephen Robinson,Robert Jacobson']",High
642,Benjamin Washington,93,"['Robert Combs,Nicole Brown,Kimberly Miller,Terry Dougherty,Craig Wiley,Dr. Kevin Jackson,Katie Collins,Kathryn Combs,Jeanette Morales']",Low
643,Richard Chen,101,"['Megan Diaz,Andrea Francis,Amber Sweeney,Lisa Smith,Bill Schultz,Jacqueline Smith']",Medium
644,Nicole Spencer,26,"['Raymond Cordova,Brianna Bell,Carlos Moore,Rachel Wolf,James Johnson,John Evans,Mark Pierce,Cynthia Baker']",High
645,Jeffrey Park,48,"['Emily Burgess,Bonnie Santiago,Austin Clark,Christian Strickland,Rachel Chandler,Rachel Gregory']",Low
646,Rachel Shaffer,151,"['Sarah Dennis,Luke Smith']",Medium
647,Catherine Nguyen,94,"['Kelly Santos,Lucas Howard,William Osborne']",Medium
648,Courtney Thomas,135,"['Laura Morrison,Rhonda Lee,Robert Diaz,Anita Stokes,Andrew Martinez,Jeremiah Alvarado,Barbara Barber,Danielle Armstrong,David Gibbs']",Low
649,Lauren Torres,94,"['Robert Price,Kimberly Thomas,Veronica Hall,Mark Jones,Rachel Johnson,Jason Lowe']",Low
650,Emily Haley,13,"['George Johnson,Natalie Richmond,Ronald Daniels,Mr. Scott Lambert']",High
651,Melanie Young,82,"['Patrick Reed,Robin Harris,Michael Allen,Nicholas Alexander,Kevin Conley,Ronald Butler,Tracey Benson,Catherine Campbell,Michelle Wheeler,Dr. Ronald Morrow']",Low
652,Dennis Franco,13,"['Stacy Brown,Jennifer Baker,Antonio Bond,Christopher Stephens,Jessica Weber,Jackie Nichols,Christina Cooper,Christopher Martin,Ashley Sampson,Carolyn Padilla']",Medium
653,Ryan Freeman,38,"['Joel Taylor,Leah Acevedo,Julie Dixon,Catherine Miller,Brian Barnes,James Nelson,Robert Phillips']",High
654,Jessica Duffy,115,"['Corey Johnson,Caroline Navarro,Joanna Williams,Cynthia Salazar,Matthew Blevins,Suzanne Johnson,Daniel Bridges,David Hoffman']",High
655,Margaret Fox,87,"['Heather Klein,Terri Brooks,Jasmine Anderson,Ruben Chapman,Paul Bauer,Robert Brennan']",Low
656,Jason Morgan,69,"['Sara Johnson,Edward Douglas,Evan Le']",High
657,Karen Stanley,88,"['Julie Booth,Ashlee Duran']",Low
658,Nicole Contreras,6,"['Cheryl Ramirez,Joseph Bradley Jr.,Shelby Huang,Nicole Williams,Judith Duffy,Kendra Raymond']",Low
659,Jasmine Adams,94,"['Mitchell Bishop,Joshua Ware,William Martin,Joseph Sims,Mark Lambert,Candice Sullivan']",High
660,Mitchell Green,34,"['Patricia Jenkins,Peggy Cordova']",High
661,Holly Jackson,89,"['Timothy Knight,Matthew Harris']",High
662,Nicole Santiago,134,"['Casey Schneider,Ariana Nguyen,Christie Patton,Joshua Davidson,Tiffany Nelson,Michelle Love,David Craig,Ashley Ramirez,Madeline Noble']",High
663,Daniel Shaw,102,"['Morgan Cisneros,Miss Victoria Hernandez,Jill Burton,Caitlin Briggs']",Medium
664,Jennifer Lyons,97,"['Marco Fox,Lisa Garner,Michelle Woodard,Michael Thompson III,Jason Mitchell,Heather Jordan,John Jensen,Mark Hogan,Kathleen Jimenez']",Medium
665,Angela Sawyer,67,"['Anthony Glenn,Derek Lawson,Thomas Bauer,Tracy Cook,Peter Morgan,Karla Peters,Richard Gibson']",Low
666,Dr. Donald Hicks,16,"['Carol Blair DDS,Aaron Sutton,Jessica Chavez,Richard Harrison,Heidi Christensen']",Low
667,Alexandra Morgan,53,"['Heather Murphy,Nicholas Shepard,Vincent Williams,Gina Cantu,Kimberly Harmon,Glenn Harrington']",High
668,Christine Francis,116,"['Melanie Fuller,Alicia Hernandez,Patrick Miles,Mr. Kevin Abbott DVM,Heather Anderson,Anthony Alexander,Paul Carter']",Low
669,Kim Garcia,111,"['Paul Brown,Dakota Arnold,Jonathan Torres,Wendy Evans,Jonathan Thornton']",Medium
670,Sandra Abbott,109,"['Kathy Thomas,Sheri Cole,Shane Harris,Katherine Wang']",Low
671,Courtney Phillips,7,"['Joanne Ward,Jeremy Gallegos,Alan Valdez,Matthew Barnes']",High
672,Jacqueline Perez,89,"['Pamela Hensley,Lisa Davis,Tanya Roach,Gregory Ibarra,Samantha White,Amanda Hernandez']",Low
673,Oscar Griffin,47,"['Amber Goodwin,Steven Green,Christina Pham,William Sanchez,Richard Randolph,Teresa Robinson,Matthew Watson,Cynthia Williams,James Gutierrez']",High
674,David Costa,120,"['Alexander Delgado,Steven Hart,Karen Ryan']",High
675,Jennifer Wright,33,"['Jessica Miller,Melissa Gibson,Robin Gutierrez']",Low
676,Christina Oliver,33,"['Laura Foster,Sarah Barber,Jennifer Moore,David Schroeder,Anna Kennedy,Mr. Joshua Murray,Yolanda Hatfield,William Greene']",High
677,Christopher Jackson,9,"['Eric Gregory,Robert Davis,Charles Perez,Jennifer Perkins,Christopher Tyler,Larry Clark,Thomas Allen,Benjamin Martin,Caitlin Hatfield,Charles Stephenson']",Medium
678,Craig Allen II,179,"['Jeffrey Moreno,Anne Moss,Jennifer Mendoza,Angela Smith,Matthew Williams,Isaiah Parker,Tara Castro']",Low
679,Patricia Wade,24,"['Melissa Elliott,Mr. Christopher Smith,Brett Anderson,Gary Garrison,Christopher Ibarra,Stephanie Cunningham,Emily Rodriguez,Leslie Shepard']",Low
680,Laura Hall,8,"['Tyler Moon,Amber Clayton,Shelly Smith,Kenneth Andrews,Leroy Donaldson,Christina Esparza,Rachel Mullen']",Medium
681,Dean Walker,143,"['Dean Chen,Victoria Reed,Diana Bentley']",Low
682,Dominic Zavala,30,"['Kristin Hamilton,Alexis Smith,Thomas Alexander,Phillip Ramirez,Walter Romero,Richard Cameron,Heather Gonzalez,David Martinez,Sue Lee,Spencer Rogers MD']",Medium
683,Taylor Downs,79,"['Theresa Stevenson,Justin Underwood,Lisa Howard']",Low
684,James Hart,78,"['James Owens,Patricia Smith,Lauren Bond,Cody Thompson,Eric Goodwin,Jenna Brown,Joy Valenzuela']",High
685,Mr. Shawn Sweeney,74,"['Jodi Francis,Mary Anderson,Kimberly Green,Christine Scott,Troy Simmons,Savannah Campbell']",Low
686,Veronica Bender,137,"['Mrs. Dana Bradley,Kelly Duncan,Judy Romero,Jennifer Burton,Xavier Hendrix,Brian Mcdonald']",Low
687,Victoria Phillips,175,"['Linda Larson,Robert Diaz,Mark Black,Johnathan Brooks,Donna Clark']",High
688,Bryan Mitchell,73,"['Sherry Owen,Kimberly Williams,Kevin Smith,Christopher Flynn,Mary Patterson,Jeffrey Fernandez,Jennifer Perez,John Gentry']",Medium
689,Mallory Morgan,38,"['Thomas Henderson,Michael Bennett,Randall Phillips,Michelle Morales,Karen Howell,Robert Baxter,James Harvey']",Low
690,Matthew Krueger,56,"['Robert Barry,John Warren']",Medium
691,Audrey Burch,164,"['Harry Logan,Melissa Pope']",Medium
692,Jessica Deleon,116,"['Michelle Munoz,Susan Sullivan,Andrew Guerrero,Brandon Trujillo,Scott Moreno,Elizabeth Valenzuela']",Low
693,Candace Gonzales,59,"['Megan Watkins,Ralph Murphy,Allen Hardin,Kenneth Curry,Mr. Randy Tucker,Mark Phillips,Megan Garcia']",High
694,Amanda Hines,78,"['Samuel Taylor,Spencer Howard,Kimberly Wilson']",High
695,Joseph Clark,178,"['Ashley Smith,Michael Anthony,Erica Douglas,Susan Edwards,Jacqueline Phillips']",High
696,Peter Williams,145,"['Jonathan Sanchez,Danielle Buck,Michelle Mitchell,Noah Savage,Joshua Floyd,Joshua Curtis,Todd Heath']",High
697,Julie Nelson,162,"['Kevin Watkins,William Johnson,Ricky Gibson,Grant Greene,Sheryl Solomon,Rebecca Zimmerman,Jennifer Moore,Gregory Wiggins,Mrs. Mackenzie Gamble DDS,Kevin White']",High
698,Christine Phelps,11,"['Donald Warren,Charles Williams,Elizabeth Flores,Bradley Hernandez,Daniel Cruz,Lauren Jennings,Amanda Lamb,Julie Gutierrez,Brad Rodriguez']",High
699,Sheila Wood,166,"['Amy Stokes,Carlos Aguilar,Jordan Ramos']",High
700,Jillian Sutton,66,"['Adam Reyes,Alisha Ingram,Brandy Gallegos,David Rangel,Anne Matthews,Kimberly Young,Margaret Frye,Robert Kim,Desiree Rodriguez']",Low
701,Susan Wilkins,156,"['Emily Brewer,Gina French,Bradley Carrillo']",Low
702,Amanda Singh,83,"['Donald Robbins,Brenda Stone,Tammie Martinez,Victor Martinez,Kenneth Evans,Lauren Murphy,Kevin Gutierrez,Megan Aguirre,Gregory Erickson,Hannah Davis']",Low
703,William Cox,135,"['Christina Perry MD,Richard Johnson']",Low
704,Wanda Morales,48,"['Cameron Nelson,Katherine Johnson,Brandon Villanueva,Tyler Hubbard,Scott Sanders,Jesus Knight']",Medium
705,Daniel Allen,120,"['Christopher Sullivan,Caleb Zimmerman']",Medium
706,Adrienne Snyder,44,"['Thomas Mccormick,Ashlee Poole,Megan Anderson,Elizabeth Wilson,Maria Dickerson,Mary Jackson,Roger Sullivan']",High
707,Kyle Lewis,7,"['Joshua Porter,Krista Ramirez,Joseph Cooke,Toni Wallace,Samuel Watkins,Kevin Johnson,Brian Foley,Brandon Hoover,Kevin Roberson']",Medium
708,Amy Harrison,51,"['Miss Sarah Johnston MD,Scott Caldwell,Tracie Williams,James Wright,Joanna Marsh']",Medium
709,Kimberly Cohen,117,"['Christopher Scott DVM,Ashley Bowman MD,Anne Harris,Frank Hopkins,Andrew Rice,Heather Simon,Connor Stanley,Thomas Rasmussen,Erica Paul,Don Wagner']",Low
710,Mark Johnson,165,"['Andrew Richardson Jr.,Mr. Jeffrey Jenkins']",Medium
711,David Newman,30,"['Heather Stewart,Dana Dennis,Mandy Duran MD,Tiffany Martin,Jessica Butler']",High
712,Ross Snyder,168,"['William Bailey,Kenneth Chan,Carla Boyd,Brandi Williams,Thomas Warren,Elizabeth Glenn,Kevin Andrade,Philip Jones,Zachary Horton']",Low
713,Jeremy Russell,133,"['Robert Grant,Brandon Miller,Jose Lane DDS,Cameron Hammond,Kevin Huerta']",High
714,Jennifer Long,163,"['Dr. Kelly Lopez,John Simpson']",Low
715,Jason Rodriguez,60,"['Nicole Williams,Derek Ward,Sharon Mckay PhD,William Patterson,Julie Lindsey']",Low
716,Samuel Myers MD,23,"['April Lee,Theresa Taylor,Stephen Terry,Kathleen Randolph,Thomas Warren,Morgan Boone']",High
717,Shawn Gay,93,"['Patricia Allen,Steven Kaufman,Maria Lopez,Michael Wallace,Cody Smith,Michelle Huffman,Vicki Crawford,Michael Lee,Kristen Gonzalez,Laurie Miller']",High
718,Christopher White,43,"['Tara Johnson,Matthew Cooper,Joseph Luna,Samantha Costa,Hayley White,Aimee Levy,Jordan Lopez,William Hendrix,Christopher Perkins']",Low
719,Bobby Jones,69,"['John Ramos,Rachel Thomas,Brian Smith']",Low
720,Mr. Thomas Harrington PhD,16,"['Jeremy Thomas,Beverly Jones,Christopher Martin,Nicholas Parker,Rebecca Henderson']",Medium
721,Emily Moreno,73,"['Anthony Munoz,Lauren Espinoza,Tammy Gonzalez,Brian Greene,Danielle Moore,Troy Ferguson,Thomas Ramirez,James Anderson,Mary Davis']",Low
722,Rachel Garcia,85,"['Teresa Boyd,Yvonne Fisher,Todd Reese,Mark Kim,Emma Bailey,Anthony Deleon,Samantha Crawford,Nicholas Everett,Nancy Rocha,Mark King']",Low
723,Christine Moore,47,"['Sarah Bond,Kelly Christensen,Heather Hicks,Kristy Lopez PhD,Duane Walsh']",Low
724,Emma Gonzales,34,"['Lynn Murillo,Michelle Yoder,Mary Smith,Micheal Burke,Emily Fox,Jennifer Thomas,Elizabeth Parker,Nicole Ellis,Cesar Smith']",High
725,Eric Velez,82,"['Eric Carter,Mrs. Erin Banks,Colleen Davis,Beth Graves,Daniel Hobbs,Courtney Mills,Mr. Jacob Hunt,Christopher Brown']",Low
726,Maria Ball,82,"['Cory Carson,Ryan Rivas']",Medium
727,Jeremiah Brooks,76,"['Stephen Page,Sabrina Sloan,Andrea White,Rhonda Ford']",High
728,James Kennedy,167,"['Elizabeth Chavez,Joshua Luna,Yvette Foster,Tammy Galloway DVM,Tyler Levine,Casey Pearson,Jonathan Ramirez,Angela Wolfe,Patrick Johnson,Christina Daniels']",High
729,Becky Jenkins,25,"['Teresa Alvarado,Tyrone Choi,Brandon Garcia,Mr. Aaron Smith,Angela Yoder,Lisa Clark,Kelly Riley']",High
730,Nathan Wiley,23,"['Matthew Oneal,Jennifer Smith,Rebekah Ford,Mary Foster,Mario Bright,Tiffany Gregory,David Knight,Michelle Ferguson']",Low
731,Taylor Gay,82,"['James Little,Rodney Richards,Jennifer Bell,Emily Gray']",High
732,Sheila Jefferson,55,"['Emily Garrett,James Sherman,Dawn Meyer,Dylan Graham,Paul Cantrell,Laura Austin,Bonnie Campbell,Benjamin Mays,Megan Jordan MD,Stacie Pittman']",Low
733,Devon Ashley,115,"['Christopher Adams,Priscilla Smith,Theresa Morris']",Medium
734,William Arnold,107,"['Joel Bailey,Taylor Thomas,Dustin Smith,Kimberly Bowman,Thomas Brooks,Sarah Blevins,Chase Tapia,Jesse Ramos,Victoria Davis DDS']",High
735,Keith Gonzalez,174,"['Jennifer Jones,Ronald Browning,Jessica Manning,Justin Zavala']",Medium
736,Rachel Adams,125,"['Ronnie Gonzales,Kari Sloan,Michaela Shaw,Robert King,Cynthia Mccormick,Jason Cooper,Rhonda Long,Christopher Edwards,Brittany Guerra']",High
737,Patricia Ramos,163,"['Cheyenne Graves,David Underwood,Erin Ramirez,Chad Bailey,April Russell,David Marshall,Nicholas Alexander']",Medium
738,Karen Hoffman,153,"['Steven Cooper,Samantha Spence,Brian Thomas,Kenneth Wilson,Ryan Ramirez,Rebecca Morton']",High
739,Charles Proctor,67,"['Michael Jackson,Tracey Little,David Torres,Shelley Freeman,Kylie Green,Kristine Washington']",High
740,Marcus Mitchell,111,"['Mary Castillo,Amber Cole,Kenneth Parker,William Hendricks,Ryan James,Kyle Vasquez,Adrian Keller,Rebecca Garcia,Ricardo White']",Medium
741,Alexandra Wang,28,"['Michele Mason,Holly King']",High
742,Sharon Johnson,85,"['Johnny Clark,Robert Byrd,Troy White,Tara Vaughan,Jackie Dickson,Christopher Reyes,Robert Hickman,Mary Johnson,Gary Goodwin,Jacob Silva']",High
743,Rachael Smith,150,"['Jacob Hall,Christopher Bradford']",Low
744,Lauren Anderson,156,"['Brian Hunt,Samuel Malone,Wesley Torres,William Lewis,Angela Joseph,David Schmidt,Thomas Ramirez']",Medium
745,Shawn Berry,107,"['Christine Walsh,Samantha Robinson,Steven Mullins,Carolyn Patel']",Low
746,Christian Snyder,171,"['Dylan Evans,Megan Proctor,Tyler Ellis']",Low
747,Tina Avery,34,"['Debbie Adams,Daniel Brown,Jonathan Lloyd,Kurt Bauer,Scott Franklin,Ronald Anderson']",High
748,Kaitlyn Graves,169,"['Jessica Mcpherson,Valerie Martinez,Reginald Fernandez']",High
749,Roberto Jenkins,7,"['Joseph Cruz,Andre Parks,Alexandra Berry,Tracy Weber']",Medium
750,Michael Hernandez,152,"['Robert Wang,Kylie Bailey']",High
751,Richard Rhodes,90,"['Julie Woods,Jennifer Brown,Ronald Snyder,Jason Fowler,Sean Howell,Joyce Dunn,Raymond Fields,Amy Boyle']",High
752,Heather Robertson,170,"['Natalie Underwood,Christian Hatfield,Katherine Ruiz,Scott Marsh,Daryl Dixon,Dominique Bridges,Michelle Wallace,Taylor Smith']",High
753,Daniel Chen,102,"['William Wright,Brian Mcbride MD,Emma Cisneros,Kathleen Choi,Gloria Johnson,Dale Doyle,Amanda Stuart']",High
754,Kim Horton,144,"['Karen Buck,Richard Hill,Danny Morgan,Sarah Meyer,Amber Hampton,Karen Roberts']",Medium
755,William Bender,76,"['Brooke Rogers PhD,Misty Morrison,John Alvarez,Zachary Bishop,Derrick Myers,John Robinson,Robin Krause,Michael Michael']",Medium
756,Alexis Miller PhD,32,"['Jorge Lopez,Frank Martin,Brittany Moore,Laura Charles,Jeremy Anderson,Dennis Williams,Carl Jenkins,Evan Hall,Sandra Gray,Stacie Warren']",Low
757,Brandon Cooper,13,"['Gary Hutchinson,Kristy Powell,Willie Lopez']",Medium
758,Joseph Hardin,71,"['Ricky Smith,Christopher Williams,Todd Pierce,Larry Peterson,Robert Waller']",Low
759,Scott Edwards,111,"['Kyle Harper,Monique Maxwell,Susan Robinson,Kaitlyn Johnson,Megan Vargas,Robert Martinez']",Low
760,Laura Morris,167,"['Jennifer Parsons,Emma Harris,Dustin Martinez,Peter Dalton,Gloria Reid,David Garrison,Kathleen Morrison']",High
761,Heather Rush,5,"['Sarah Armstrong,Gene Lawson']",High
762,Andrew Campbell,116,"['Deanna Thompson,Paul Mendez,Calvin Wallace,Kenneth Ho']",High
763,James Walsh,117,"['Katie King,Jeffrey Garcia,Michelle Yates,Adam Finley,Dr. James Kelly']",High
764,Jordan Blankenship,144,"['Brandon Benjamin,Isaac Garcia,Dwayne Howell,Lindsey Cook,Matthew Hanna']",High
765,Gregory Adams,5,"['Tracey Bass,Justin Allen,Christina Williams,Tony Greene,Edwin Santiago']",Medium
766,Dr. Samantha Webster PhD,70,"['Larry Knox,Felicia Butler,Kenneth Phillips,Tina Francis,Brian Frey,Craig Boyd']",Low
767,Michael Russell,130,"['Samantha Porter,Jason Dickson,Chase Rogers,James Ayala,Renee Merritt,Robin Buck,Michael Martinez']",Low
768,Laura Arellano,88,"['Daniel Watson,James Willis,Bill Fry,Jessica Cooper,Amanda Alexander,Anthony White,Linda Berger,Lisa Thompson']",Low
769,Jason Watson,179,"['Bailey Frazier,Heather Hodges,Melissa Scott,Carla Nguyen,Kathy Martin,Christopher Berry']",Low
770,Derek Robinson,99,"['Bianca Crawford,Anthony Walker,Brandon Thomas,Anthony Anderson,Dylan Hampton,William Davenport,Mary Malone,Joshua Fisher,Jodi Ferguson']",Medium
771,Tracy Hill,127,"['Mikayla Taylor,Mark Jenkins,Laura White,Walter Hodge,Hunter Lucas,Yvonne Warren,Mr. Scott Hernandez,Dr. Pamela Gray DDS']",High
772,Benjamin Strickland,179,"['Ann Melton,Jennifer Pham,George Myers,Peter Lynch,Tina Ellis,Scott Raymond,Michael Davis,Connor Campbell,Mary Newman,Tonya Gonzalez']",Low
773,Cameron Crosby,131,"['Rachel Moore,Eric Wilson,Christine Jacobs MD,Regina Gonzales,Robert Wilson DVM,Megan Rodriguez,Melissa Fisher,Casey Mason,Taylor Hernandez,Erik Hopkins']",Medium
774,Michael Harrington,47,"['William Hall,Jose Dodson,Jessica Morales,Sherry Trevino,Kerry Wagner,Amanda James MD,Crystal Sellers,Gerald Noble']",High
775,Theresa Martinez DDS,111,"['Ronald Yates,Paul Maldonado,Christopher White']",High
776,Clifford Williams,141,"['Laura Blevins,Antonio Allison,Katherine Adams,Michael Collier,Daniel Moore,Tina Perez']",Low
777,Ryan Townsend,153,"['Javier Riley,Lisa Mcgee']",Medium
778,Brandon Chaney DDS,110,"['Kimberly Velasquez,Kyle Perez,Michele Orozco,Ronald Black,Curtis Hamilton,Ricky Brown,Catherine Peters,Amanda Bennett PhD,Sharon Taylor,Joshua Lee']",High
779,John Jackson DDS,154,"['Sarah White,Tara Patterson,Nicole Irwin,Benjamin Lang,Michael Rivera']",Medium
780,Nathan Diaz,41,"['Robert Brown,Dana Hernandez,Timothy Mills,Pamela Ryan,Ashley Gonzalez,Shannon Valdez,Mary Lowe']",Medium
781,Michelle Nicholson,104,"['Alicia Smith,Tyler Morgan']",Medium
782,Makayla Welch,100,"['Monica Daniels,Laurie Miller']",Medium
783,Philip Harrell,144,"['Michael Sherman MD,Madeline Nelson']",High
784,Todd Andrews,162,"['Cheryl Donovan,Jessica Johnson MD,Thomas Walter']",Low
785,Jill Cox,89,"['George Moore,Margaret Dominguez,Dennis Robinson,Nathan Morales,Brenda Turner,Larry Martinez,Robert Zuniga,Danny Solomon,Christian Roy,Amanda Travis DDS']",Medium
786,Taylor Garcia,129,"['Omar Robinson Jr.,Lauren Anderson']",High
787,Evan Morris,95,"['Christopher Soto,Monica White,Marc Boyd,Terri Hicks,John Williams']",Medium
788,Amy Rosario,133,"['Lisa Gill,Barbara Kennedy,Christopher Colon,Angela Cooke']",Low
789,Daniel Martin,8,"['James Freeman,Mark Haas,Robert Snyder,Judith Ward,Katherine Kelley MD,Bryan Wilson,Janice Hoover,Melissa Garner']",Low
790,Tyler Hodge,32,"['Lauren Glenn,Laura Le,Dakota Hayden,Nicholas Brown,Deborah Case,Laura Yu,Samuel Taylor,Jason Henderson,Jonathan Ward,William Velez']",Low
791,Anthony Morales,82,"['Nicole Herman MD,Lisa Bond,Eric Kim,Diana Hicks']",High
792,Michelle Ellis,150,"['Lance Day,Lori Barajas,Benjamin Butler,Charles Hudson,Gail Rice,Joseph Wallace']",Medium
793,Chelsea Ferrell,12,"['Austin Hodges,Sandra Petersen,Melanie Mcbride,John Wong,Allison Christensen,Tiffany Charles,Rachel Berry,Robert Anderson,Nancy Sanchez,Terry Robinson']",Low
794,Andrew Lee,109,"['David Acevedo,Alicia Stevenson,Kimberly Cox,Deborah Chase,Joshua Medina,Jason Singh,Cody Watson']",Low
795,Doris Johnson,134,"['David Juarez,David Strong,Rachel King,Melissa Roy,Julie Rodriguez,Tracy Fox,Ellen Gregory,Veronica Kennedy']",Medium
796,Tammy Martin,117,"['Lisa Brown,Matthew Ryan']",Low
797,Lucas Trujillo,34,"['Donna Miller,Benjamin Maldonado,Megan Miller,Brittney Ross,Kara Sosa,Eric Clements,Sheri Maldonado,Christine Walsh,Brian Burns,Katherine Taylor']",High
798,Amber Sullivan,132,"['Rachel White,Jennifer Woods,Jacob Perez,Zachary Neal,Alyssa Nguyen,Lisa Norris']",High
799,Patricia Holmes PhD,86,"['Joshua Townsend,William Pierce,Dillon Herrera,Belinda Merritt,Cathy Wilson,Gregory Ward,Jared Fernandez']",Medium
800,Lauren Warner,148,"['Dr. Jeremy Smith,Samantha Johnson,Sarah Daniels,Peter Anderson,Timothy Jones DDS,Mary Oliver,Chad Fernandez']",Low
801,Curtis Mcdaniel,117,"['Jeffrey George,Mark Gross,Deanna Jackson,Jennifer Perez,Jacob Green,Valerie Garza,Daniel White,Melissa White']",Medium
802,Melissa Griffin,11,"['Grant Washington PhD,Joshua White,Christopher Watson,Christopher Smith,Steven Payne,James Rogers,Jose Mccoy,Zachary Calderon']",High
803,Christopher Johnson,124,"['Kurt Summers,Joe Kim,Troy Reed,Barbara Rivera,Adrian Gonzalez,Mary Hernandez,Allen Weaver']",Low
804,Joanna Jimenez,18,"['Heather Marsh,Michelle Valentine,Joel Brady,Michael Bradford']",Medium
805,Amy Russell,92,"['Gregory Holder,Curtis Bartlett,Nicole Bates,Daniel Davis,Tyler Moody,Sherry Aguilar,Matthew Turner,Jessica Nguyen MD,Kimberly Knox']",Medium
806,Natalie Neal,89,"['Timothy Collins,Brian Lee,Terry Wright,Tyler Salazar,David Small,Anthony Olson']",High
807,Joseph Fernandez,85,"['Lawrence Nguyen,Cory Scott']",High
808,Ronald Jones,113,"['Tyler Brewer,Justin Torres,Tiffany Parker,Joseph Silva']",Medium
809,David Rocha,116,"['Anthony Davis,Tyler Taylor,Kelsey Stuart,Eric Hendrix,Brian Stewart,Anne Jimenez,Patrick Poole,Eric Graham']",Low
810,Marco Gutierrez,69,"['Crystal Molina,Donna Griffin,Russell Murray,Hannah Luna']",Low
811,Natalie Smith,107,"['Thomas Vargas,Ryan Burton']",High
812,Kara Parker,9,"['Sarah Martinez,Cassandra Alvarado,Melanie Hansen']",Medium
813,James Fry,48,"['Laura Mills,Lisa Hill']",Medium
814,James White,26,"['Catherine Thompson,Mrs. Ashley Williams MD,Brian Allison,Jesus Odonnell,Jorge Lewis,Joanne Parrish MD,Kayla Bowman,Michael Taylor']",Medium
815,Michael Davis,95,"['Julie Lopez,Patricia Smith,Angel Lynch,Laura Singh,Ryan Gomez,Kenneth Morris,Emily Jackson,Jacob Tyler']",Low
816,Sarah Johnson,146,"['Miranda Allen,Lawrence Garner']",Low
817,Sally Ellison,144,"['Nicole Knight,Nicholas Taylor,Amanda Jones,Mark Melton,Tina Flynn,Susan Lara,Vanessa Cortez,Timothy Zavala,Elizabeth Williams']",High
818,Joseph Palmer,37,"['Crystal Allen,Joseph Evans']",Medium
819,Jennifer Patel,19,"['Linda Cervantes,Becky Jones,Tina Rice']",Medium
820,Edward Anderson,113,"['Tracy Lee,James West,Ann Anderson,Mr. Brian Galloway,Kristin Brown,Jordan Murray,Nathan Daniels,Amanda Lopez']",Low
821,Theresa Brown,104,"['Raymond Baker,Kristy Glover,Michael Roberts,John Ray,David Lyons,Renee Thornton,James Sheppard,Mitchell Morgan']",Medium
822,Amy Ryan,141,"['Gary Newton DDS,Matthew Wheeler,Shelly Porter']",Medium
823,Jeffrey Yoder,136,"['Chelsea White,Joshua Garcia,Andrew Morrow,Vicki Flores,Elaine Marshall,Jennifer Walker']",Low
824,Katie Salinas,170,"['Victoria Contreras,Tyler Guzman,Mary Rogers,Joseph Myers,Michael Ramirez,Justin Davis']",High
825,John Orr,112,"['Denise Davis,Donald Snow,John Figueroa,Jacqueline Spence,Christine Graham,Daniel Brown,Lisa Holmes,Mr. Christian Washington PhD']",Medium
826,Victoria Sanchez,50,"['April Morris,Ian Daniels,Brenda Cook,Kayla Adams']",High
827,Luke Parker,59,"['Kevin Flowers,Wanda Meyers']",Medium
828,Angela Scott,23,"['Robert Hill,Timothy Tran,David Andrews,Julie Phillips,Hannah Morgan,Ronnie Edwards,Kelsey Monroe,Angela Price,Ashley Quinn']",Low
829,Krista Martinez,127,"['John Woods,Robert Bean,Paula Jackson,Catherine Johnson,Jeremy Martin,Kelly Gonzalez']",Medium
